Enabled,Range,Coeff Rate,Sigma,Test Score,Runtime (s),Score/sec
True,"(-5, 5)",0.1,-,264.16768107129,1700.0006960233052,0.15539268994962138
True,"(-5, 5)",0.3,-,-1028.6935516782062,891.8693572680155,-1.1534128213904693
True,"(-5, 5)",0.5,-,-265.15031805036034,2010.2437477906544,-0.13189958597895013
True,"(-5, 5)",0.7,-,-379.1486760796576,1767.1217834949493,-0.21455718537394242
True,"(-5, 5)",1.0,-,-424.0226289018301,1169.3458023866017,-0.36261525721169213
